Price,Close,High,Low,Open,Volume
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F
Datetime,,,,,
2026-04-24 01:00:00+00:00,4715.10009765625,4726.7001953125,4705.7001953125,4719.7998046875,3093
2026-04-24 02:00:00+00:00,4692.39990234375,4716.39990234375,4687.2998046875,4715.2001953125,3891
2026-04-24 03:00:00+00:00,4687.5,4693.5,4683.5,4692.0,2939
2026-04-24 04:00:00+00:00,4689.2998046875,4691.5,4672.2001953125,4686.89990234375,4411
2026-04-24 05:00:00+00:00,4701.5,4702.2998046875,4684.39990234375,4689.60009765625,2955
2026-04-24 06:00:00+00:00,4687.10009765625,4703.10009765625,4681.60009765625,4701.7001953125,4071
2026-04-24 07:00:00+00:00,4709.39990234375,4710.7001953125,4686.2001953125,4687.10009765625,3406
2026-04-24 08:00:00+00:00,4705.5,4712.7001953125,4700.10009765625,4710.10009765625,2738
2026-04-24 09:00:00+00:00,4697.7001953125,4711.89990234375,4694.89990234375,4706.10009765625,5609
2026-04-24 10:00:00+00:00,4693.0,4701.5,4689.60009765625,4697.39990234375,2660
2026-04-24 11:00:00+00:00,4723.2001953125,4733.89990234375,4693.0,4693.10009765625,9734
2026-04-24 12:00:00+00:00,4716.89990234375,4727.89990234375,4706.2998046875,4723.2001953125,6628
2026-04-24 13:00:00+00:00,4727.89990234375,4734.2001953125,4705.39990234375,4717.2001953125,8244
2026-04-24 14:00:00+00:00,4743.2001953125,4757.10009765625,4723.2001953125,4728.0,13412
2026-04-24 15:00:00+00:00,4743.89990234375,4750.39990234375,4730.7998046875,4743.39990234375,6640
2026-04-24 16:00:00+00:00,4743.7001953125,4746.5,4735.60009765625,4743.60009765625,3072
2026-04-24 17:00:00+00:00,4740.10009765625,4747.0,4735.7001953125,4744.39990234375,5213
2026-04-24 18:00:00+00:00,4738.7001953125,4741.5,4733.0,4740.39990234375,1856
2026-04-24 19:00:00+00:00,4732.10009765625,4742.39990234375,4729.5,4739.39990234375,2597
2026-04-24 20:00:00+00:00,4740.89990234375,4740.89990234375,4721.10009765625,4731.89990234375,2765
2026-04-26 22:00:00+00:00,4699.60009765625,4704.0,4694.0,4696.10009765625,1529
2026-04-26 23:00:00+00:00,4694.7998046875,4700.0,4689.10009765625,4699.10009765625,1737
2026-04-27 00:00:00+00:00,4712.60009765625,4713.10009765625,4686.60009765625,4695.2998046875,2781
2026-04-27 01:00:00+00:00,4717.10009765625,4724.7998046875,4705.5,4712.39990234375,4501
2026-04-27 02:00:00+00:00,4732.89990234375,4738.2998046875,4710.60009765625,4717.7001953125,3720
2026-04-27 03:00:00+00:00,4739.7998046875,4744.7998046875,4729.60009765625,4733.2001953125,2739
2026-04-27 04:00:00+00:00,4740.5,4745.7998046875,4738.2998046875,4739.7998046875,1520
2026-04-27 05:00:00+00:00,4725.7001953125,4741.2001953125,4724.0,4741.2001953125,2966
2026-04-27 06:00:00+00:00,4727.60009765625,4730.89990234375,4724.2998046875,4725.39990234375,2210
2026-04-27 07:00:00+00:00,4727.89990234375,4733.5,4725.0,4727.39990234375,1957
2026-04-27 08:00:00+00:00,4722.0,4730.0,4720.2001953125,4728.39990234375,2299
2026-04-27 09:00:00+00:00,4719.10009765625,4723.60009765625,4714.7001953125,4722.2998046875,3418
2026-04-27 10:00:00+00:00,4724.2998046875,4726.39990234375,4714.7001953125,4719.2001953125,2067
2026-04-27 11:00:00+00:00,4719.7001953125,4724.5,4713.5,4724.2001953125,2269
2026-04-27 12:00:00+00:00,4714.10009765625,4728.0,4712.0,4720.10009765625,5212
2026-04-27 13:00:00+00:00,4711.60009765625,4718.89990234375,4703.2998046875,4714.7998046875,6827
2026-04-27 14:00:00+00:00,4693.2001953125,4712.2001953125,4691.2998046875,4711.2001953125,9115
2026-04-27 15:00:00+00:00,4684.7998046875,4697.10009765625,4681.2001953125,4693.39990234375,8890
2026-04-27 16:00:00+00:00,4691.10009765625,4694.2998046875,4681.5,4684.60009765625,3540
2026-04-27 17:00:00+00:00,4697.2001953125,4700.89990234375,4682.5,4691.39990234375,6866
2026-04-27 18:00:00+00:00,4695.7001953125,4700.2001953125,4693.60009765625,4696.7001953125,2077
2026-04-27 19:00:00+00:00,4696.2001953125,4697.89990234375,4691.7001953125,4695.5,2530
2026-04-27 20:00:00+00:00,4697.7001953125,4697.7998046875,4691.7998046875,4695.89990234375,854
2026-04-27 22:00:00+00:00,4702.7001953125,4706.2998046875,4697.0,4697.5,0
2026-04-27 23:00:00+00:00,4707.10009765625,4710.2998046875,4702.10009765625,4703.2998046875,1091
2026-04-28 00:00:00+00:00,4705.60009765625,4716.5,4705.2001953125,4707.10009765625,1782
2026-04-28 01:00:00+00:00,4684.7001953125,4705.7998046875,4681.39990234375,4705.2001953125,3590
2026-04-28 02:00:00+00:00,4683.0,4694.0,4679.89990234375,4684.60009765625,3665
2026-04-28 03:00:00+00:00,4685.60009765625,4690.10009765625,4682.2998046875,4682.89990234375,1971
2026-04-28 04:00:00+00:00,4681.2998046875,4685.10009765625,4679.7001953125,4684.60009765625,1998
2026-04-28 05:00:00+00:00,4646.60009765625,4681.5,4638.0,4681.39990234375,9724
2026-04-28 06:00:00+00:00,4642.7001953125,4656.89990234375,4636.5,4645.89990234375,7469
2026-04-28 07:00:00+00:00,4646.60009765625,4653.2998046875,4634.39990234375,4642.60009765625,5794
2026-04-28 08:00:00+00:00,4643.60009765625,4649.39990234375,4628.2998046875,4647.0,6167
2026-04-28 09:00:00+00:00,4618.60009765625,4644.0,4617.7001953125,4643.39990234375,7096
2026-04-28 10:00:00+00:00,4616.7001953125,4630.5,4616.7001953125,4618.39990234375,4285
2026-04-28 11:00:00+00:00,4575.2001953125,4622.39990234375,4568.0,4616.60009765625,14625
2026-04-28 12:00:00+00:00,4607.39990234375,4613.7998046875,4567.60009765625,4575.60009765625,14740
2026-04-28 13:00:00+00:00,4593.39990234375,4608.2001953125,4583.7001953125,4607.0,12342
2026-04-28 14:00:00+00:00,4588.2998046875,4594.0,4570.0,4593.0,14033
2026-04-28 15:00:00+00:00,4600.10009765625,4600.2001953125,4580.5,4587.89990234375,8230
2026-04-28 16:00:00+00:00,4606.2001953125,4608.7998046875,4591.39990234375,4600.0,5516
2026-04-28 17:00:00+00:00,4609.0,4615.89990234375,4601.0,4606.2998046875,6812
2026-04-28 18:00:00+00:00,4608.39990234375,4614.7998046875,4606.0,4609.39990234375,2205
2026-04-28 19:00:00+00:00,4609.60009765625,4614.10009765625,4607.2998046875,4608.5,2131
2026-04-28 20:00:00+00:00,4609.60009765625,4612.89990234375,4605.7001953125,4609.39990234375,1417
2026-04-28 22:00:00+00:00,4607.7998046875,4614.0,4606.2998046875,4611.39990234375,0
2026-04-28 23:00:00+00:00,4609.7001953125,4610.5,4602.0,4608.2998046875,1027
2026-04-29 00:00:00+00:00,4613.7001953125,4624.2998046875,4608.7998046875,4609.5,3091
2026-04-29 01:00:00+00:00,4598.10009765625,4613.5,4589.10009765625,4613.5,4744
2026-04-29 02:00:00+00:00,4606.89990234375,4617.7001953125,4598.5,4598.5,3045
2026-04-29 03:00:00+00:00,4609.60009765625,4616.7001953125,4605.7001953125,4606.89990234375,1604
2026-04-29 04:00:00+00:00,4618.10009765625,4619.2998046875,4609.10009765625,4609.10009765625,1626
2026-04-29 05:00:00+00:00,4604.7001953125,4621.2998046875,4604.39990234375,4618.60009765625,1749
2026-04-29 06:00:00+00:00,4598.10009765625,4612.2998046875,4594.7998046875,4604.5,4100
2026-04-29 07:00:00+00:00,4581.39990234375,4603.2001953125,4580.5,4598.10009765625,6122
2026-04-29 08:00:00+00:00,4586.10009765625,4590.0,4570.5,4581.60009765625,5113
2026-04-29 09:00:00+00:00,4568.2998046875,4594.2998046875,4564.5,4586.5,6326
2026-04-29 10:00:00+00:00,4582.7001953125,4589.5,4567.60009765625,4568.10009765625,3984
2026-04-29 11:00:00+00:00,4574.7001953125,4585.60009765625,4571.89990234375,4583.0,3065
2026-04-29 12:00:00+00:00,4557.39990234375,4582.10009765625,4552.89990234375,4574.2001953125,6668
2026-04-29 13:00:00+00:00,4534.7001953125,4566.0,4522.2001953125,4558.39990234375,15641
2026-04-29 14:00:00+00:00,4551.89990234375,4556.39990234375,4530.2998046875,4534.7001953125,11348
2026-04-29 15:00:00+00:00,4560.2001953125,4572.0,4548.60009765625,4551.89990234375,10911
2026-04-29 16:00:00+00:00,4559.0,4578.2998046875,4557.2001953125,4560.60009765625,7752
2026-04-29 17:00:00+00:00,4561.7998046875,4568.5,4555.89990234375,4559.39990234375,6662
2026-04-29 18:00:00+00:00,4552.7001953125,4567.0,4532.0,4561.2001953125,9761
2026-04-29 19:00:00+00:00,4560.7998046875,4565.0,4547.39990234375,4553.10009765625,4800
2026-04-29 20:00:00+00:00,4557.2998046875,4567.2998046875,4555.0,4561.2001953125,2390
2026-04-29 22:00:00+00:00,4563.60009765625,4564.89990234375,4550.7998046875,4557.0,0
2026-04-29 23:00:00+00:00,4573.7998046875,4574.2001953125,4561.60009765625,4564.5,873
2026-04-30 00:00:00+00:00,4582.0,4586.2998046875,4568.2001953125,4573.60009765625,3347
2026-04-30 01:00:00+00:00,4590.7998046875,4594.10009765625,4576.39990234375,4581.7001953125,3470
2026-04-30 02:00:00+00:00,4576.39990234375,4593.7998046875,4571.10009765625,4591.10009765625,3552
2026-04-30 03:00:00+00:00,4567.89990234375,4581.0,4566.89990234375,4576.39990234375,2251
2026-04-30 04:00:00+00:00,4553.2001953125,4568.0,4552.2001953125,4567.39990234375,2643
2026-04-30 05:00:00+00:00,4573.7001953125,4581.0,4553.0,4553.7001953125,2747
2026-04-30 06:00:00+00:00,4601.60009765625,4603.7001953125,4570.89990234375,4573.7001953125,6632
2026-04-30 07:00:00+00:00,4610.60009765625,4617.2998046875,4596.5,4601.7998046875,6529
2026-04-30 08:00:00+00:00,4628.39990234375,4641.39990234375,4609.2001953125,4610.5,7863
2026-04-30 09:00:00+00:00,4637.2001953125,4644.60009765625,4626.2998046875,4628.7001953125,6372
2026-04-30 10:00:00+00:00,4651.7001953125,4658.7998046875,4635.5,4637.2001953125,6117
2026-04-30 11:00:00+00:00,4643.0,4658.0,4639.5,4651.89990234375,8239
2026-04-30 12:00:00+00:00,4652.39990234375,4652.7001953125,4635.0,4643.2998046875,7436
2026-04-30 13:00:00+00:00,4623.10009765625,4658.60009765625,4622.39990234375,4652.5,10546
2026-04-30 14:00:00+00:00,4632.5,4638.7001953125,4621.2998046875,4623.2001953125,9458
2026-04-30 15:00:00+00:00,4628.10009765625,4637.7998046875,4623.7001953125,4633.2998046875,5002
2026-04-30 16:00:00+00:00,4620.39990234375,4631.10009765625,4618.0,4628.2001953125,6487
2026-04-30 17:00:00+00:00,4629.7998046875,4635.0,4620.7998046875,4620.89990234375,6417
2026-04-30 18:00:00+00:00,4635.39990234375,4638.5,4629.60009765625,4630.0,2971
2026-04-30 19:00:00+00:00,4630.0,4640.2998046875,4627.7001953125,4635.5,2808
2026-04-30 20:00:00+00:00,4636.0,4636.0,4628.2998046875,4630.39990234375,1238
2026-04-30 22:00:00+00:00,4642.7001953125,4652.0,4636.89990234375,4636.89990234375,0
2026-04-30 23:00:00+00:00,4638.89990234375,4646.7998046875,4638.7998046875,4643.2001953125,1160
2026-05-01 00:00:00+00:00,4631.7998046875,4643.5,4630.5,4639.0,1414
2026-05-01 01:00:00+00:00,4632.60009765625,4634.10009765625,4625.89990234375,4631.60009765625,1704
2026-05-01 02:00:00+00:00,4630.5,4648.10009765625,4628.0,4632.60009765625,2608
2026-05-01 03:00:00+00:00,4638.60009765625,4643.5,4628.89990234375,4630.10009765625,1655
2026-05-01 04:00:00+00:00,4620.39990234375,4640.2998046875,4620.2998046875,4637.7998046875,2509
2026-05-01 05:00:00+00:00,4616.2001953125,4628.2001953125,4614.10009765625,4620.7001953125,1957
2026-05-01 06:00:00+00:00,4606.7998046875,4619.39990234375,4602.2001953125,4616.2001953125,3120
2026-05-01 07:00:00+00:00,4589.5,4609.7001953125,4586.7998046875,4606.0,4557
2026-05-01 08:00:00+00:00,4580.2998046875,4594.0,4575.89990234375,4589.7001953125,3541
2026-05-01 09:00:00+00:00,4573.60009765625,4584.0,4570.0,4580.10009765625,3221
2026-05-01 10:00:00+00:00,4577.89990234375,4587.39990234375,4572.39990234375,4573.7001953125,2204
2026-05-01 11:00:00+00:00,4590.0,4590.60009765625,4573.0,4577.7998046875,2684
2026-05-01 12:00:00+00:00,4602.10009765625,4619.2998046875,4586.0,4589.5,7746
2026-05-01 13:00:00+00:00,4637.5,4640.89990234375,4596.89990234375,4601.60009765625,8223
2026-05-01 14:00:00+00:00,4643.60009765625,4673.0,4635.7998046875,4636.89990234375,15612
2026-05-01 15:00:00+00:00,4654.39990234375,4659.2001953125,4630.39990234375,4644.0,8564
2026-05-01 16:00:00+00:00,4650.60009765625,4661.2998046875,4644.89990234375,4654.0,4390
2026-05-01 17:00:00+00:00,4641.2998046875,4654.5,4638.39990234375,4650.2001953125,5506
2026-05-01 18:00:00+00:00,4636.10009765625,4642.7998046875,4625.2998046875,4641.7001953125,3419
2026-05-01 19:00:00+00:00,4623.0,4639.60009765625,4621.0,4636.2001953125,2750
2026-05-01 20:00:00+00:00,4644.5,4644.5,4619.0,4623.0,1556
2026-05-03 22:00:00+00:00,4630.7001953125,4640.89990234375,4623.5,4633.2998046875,1470
2026-05-03 23:00:00+00:00,4625.0,4632.39990234375,4622.39990234375,4630.0,1025
2026-05-04 00:00:00+00:00,4623.60009765625,4627.89990234375,4612.5,4624.7998046875,2027
2026-05-04 01:00:00+00:00,4624.2001953125,4625.39990234375,4603.7998046875,4624.7001953125,2219
2026-05-04 02:00:00+00:00,4616.89990234375,4629.89990234375,4602.0,4624.0,2830
2026-05-04 03:00:00+00:00,4627.7998046875,4627.89990234375,4609.60009765625,4616.60009765625,2393
2026-05-04 04:00:00+00:00,4616.60009765625,4626.5,4615.7998046875,4626.5,1787
2026-05-04 05:00:00+00:00,4610.2001953125,4624.0,4603.2998046875,4616.0,2980
2026-05-04 06:00:00+00:00,4599.7001953125,4611.89990234375,4594.5,4610.10009765625,3014
2026-05-04 07:00:00+00:00,4589.7001953125,4604.39990234375,4588.60009765625,4599.2001953125,2486
2026-05-04 08:00:00+00:00,4587.5,4592.60009765625,4584.5,4589.89990234375,2895
2026-05-04 09:00:00+00:00,4586.0,4595.2998046875,4582.0,4587.89990234375,2029
2026-05-04 10:00:00+00:00,4573.2001953125,4586.89990234375,4535.0,4586.60009765625,12623
2026-05-04 11:00:00+00:00,4571.10009765625,4581.7998046875,4562.39990234375,4573.5,4966
2026-05-04 12:00:00+00:00,4579.2998046875,4590.39990234375,4570.39990234375,4571.2998046875,5534
2026-05-04 13:00:00+00:00,4575.0,4588.10009765625,4566.2998046875,4579.60009765625,6823
2026-05-04 14:00:00+00:00,4572.7001953125,4594.7001953125,4564.39990234375,4574.89990234375,8032
2026-05-04 15:00:00+00:00,4531.60009765625,4577.89990234375,4520.60009765625,4572.7001953125,18313
2026-05-04 16:00:00+00:00,4520.39990234375,4537.10009765625,4510.10009765625,4531.39990234375,13140
2026-05-04 17:00:00+00:00,4532.5,4541.7998046875,4520.89990234375,4521.10009765625,7255
